"chrom","chromStart","chromEnd","strand","name"
"1",73910231,74124449,"-","Tns1"
"1",74125541,74148223,"+","Rufy4"
"1",74153989,74161246,"+","Cxcr2"
"1",74191785,74194631,"-","Cxcr1"
"1",74236084,74268209,"+","Arpc2"
"1",74278550,74279624,"+","Gpbar1"
"1",74279840,74284738,"-","Aamp"
"1",74284930,74353694,"+","Pnkd"
"1",74288247,74305622,"-","Tmbim1"
"1",74362108,74369321,"+","Catip"
"1",74375195,74386062,"+","Slc11a1"
"1",74391509,74397285,"+","Ctdsp1"
"1",74409376,74435559,"+","Vil1"
"1",74435511,74544284,"-","Usp37"
"1",74506058,74530842,"+","Cnot9"
"1",74542888,74567794,"+","Plcd4"
"1",74565127,74588246,"-","Zfp142"
"1",74588289,74592443,"+","Bcs1l"
"1",74593748,74601397,"-","Rnf25"
"1",74601445,74636894,"+","Stk36"
"1",74661745,74703730,"+","Ttll4"
"1",74713574,74737892,"+","Cyp27a1"
"1",74738922,74749221,"-","Prkag3"
"1",74771892,74785322,"+","Wnt6"
"1",74791516,74804179,"+","Wnt10a"
"1",74850895,74879953,"+","Gm16582"
"1",74854934,74857732,"+","Cdk5r2"
"1",74881509,74885419,"-","Fev"
"1",74889934,74893143,"-","Cryba2"
"1",74902071,74935599,"-","Cfap65"
"1",74945315,74951672,"-","Ihh"
"1",74967139,75125200,"-","Nhej1"
"1",75125541,75133890,"-","Slc23a3"
"1",75134554,75142711,"-","Cnppd1"
"1",75142778,75147913,"+","Retreg2"
"1",75168646,75171629,"+","Zfand2b"
"1",75171717,75180392,"-","Abcb6"
"1",75171731,75185146,"-","Gm29253"
"1",75180860,75192196,"-","Atg9a"
"1",75192151,75199387,"+","Ankzf1"
"1",75198236,75210813,"-","Glb1l"
"1",75210838,75215606,"+","Stk16"
"1",75214228,75219865,"-","Tuba4a"
"1",75220095,75232102,"-","A630095N17Rik"
"1",75236406,75245692,"+","Dnajb2"
"1",75247027,75264502,"-","Ptprn"
"1",75272199,75278415,"-","Resp18"
"1",75307896,75317990,"-","Dnpep"
"1",75360329,75368579,"+","Des"
"1",75375297,75432320,"+","Speg"
"1",75435930,75443179,"+","Gmppa"
"1",75450436,75474343,"+","Asic4"
"1",75474569,75479307,"-","Chpf"
"1",75479310,75506452,"-","Obsl1"
"1",75479532,75485705,"+","Tmem198"
"1",75507077,75510366,"+","Inha"
"1",75521529,75537335,"+","Stk11ip"
"1",75546266,75562172,"+","Slc4a3"
"1",77367185,77515088,"-","Epha4"
"1",78101267,78197134,"-","Pax3"
"1",78310345,78420289,"+","Sgpp2"
"1",78417975,78488897,"-","Farsb"
"1",78497026,78512158,"-","BC035947"
"1",78510991,78538173,"+","Mogat1"
"1",78657825,78707743,"+","Acsl3"
"1",78658038,78671512,"+","Utp14b"
"1",78816758,78820028,"+","Kcne4"
"1",79434669,79440120,"-","Scg2"
"1",79606876,79671972,"-","Ap1s3"
"1",79702262,79776143,"-","Wdfy1"
"1",79776018,79781445,"+","Mrpl44"
"1",79794197,79861180,"-","Serpine2"
"1",80198706,80218473,"-","Fam124b"
"1",80264923,80340480,"-","Cul3"
"1",80449597,80461448,"-","Gm45261"
"1",80501073,80758527,"-","Dock10"
"1",81076950,81341764,"+","Nyap2"
"1",82233101,82291416,"-","Irs1"
"1",82233112,82235933,"+","Gm9747"
"1",82316452,82445366,"+","Rhbdd1"
"1",82448423,82586849,"-","Col4a4"
"1",82586921,82722059,"+","Col4a3"
"1",82691928,82725169,"-","C430014B12Rik"
"1",82724890,82752394,"+","Mff"
"1",82756649,82768461,"-","Tm4sf20"
"1",82770824,82771243,"-","Gm47791"
"1",82839483,82901182,"+","Agfg1"
"1",82913325,82914130,"+","A030005L19Rik"
"1",82924917,82925712,"+","A030014E15Rik"
"1",82930571,82931399,"-","Gm6217"
"1",82942559,82943388,"-","A030003K21Rik"
"1",82955186,82956013,"-","Gm7544"
"1",82960286,82960924,"+","Gm47955"
"1",83000548,83001480,"+","Gm47959"
"1",83012523,83038448,"-","Slc19a3"
"1",83041524,83042480,"-","Krtap28-10"
"1",83044932,83045946,"+","Gm47969"
"1",83058286,83059378,"-","A030005K14Rik"
"1",83060930,83061921,"+","Krtap28-13"
"1",83116766,83119167,"+","Ccl20"
"1",83159752,83210574,"+","Daw1"
"1",83254139,83408200,"-","Sphkap"
"1",84036296,84364180,"-","Pid1"
"1",84369839,84696221,"-","Dner"
"1",84721189,84840516,"-","Trip12"
"1",84839841,84900487,"+","Fbxo36"
"1",84905898,84935134,"-","Slc16a14"
"1",84992690,85270566,"-","C130026I21Rik"
"1",85083069,85109853,"-","A530032D15Rik"
"1",85100164,85100535,"+","Gm10553"
"1",85575676,85577295,"+","G530012D18Rik"
"1",85576899,85598817,"-","Sp110"
"1",85600378,85645037,"+","Sp140"
"1",85649988,85709998,"+","Sp100"
"1",85717083,85778643,"-","A630001G21Rik"
"1",85793441,85851576,"+","Cab39"
"1",85894281,85908675,"+","Itm2c"
"1",85928483,85940624,"+","4933407L21Rik"
"1",85938318,85961007,"-","Gpr55"
"1",86016816,86029958,"+","Spata3"
"1",86045863,86055456,"+","2810459M11Rik"
"1",86064387,86139151,"+","Psmd1"
"1",86099026,86111970,"-","Htr2b"
"1",86133637,86162788,"+","Gm21972"
"1",86154780,86278284,"+","Armc9"
"1",86302832,86307305,"+","B3gnt7"
"1",86344719,86359400,"-","Ncl"
"1",86359574,86373791,"+","C130036L24Rik"
"1",86386303,86426228,"-","Nmur1"
"1",86426329,86428052,"+","Tex44"
"1",86526726,86530712,"+","Ptma"
"1",86542994,86582629,"-","Pde6d"
"1",86582904,86609375,"+","Cops7b"
"1",86666291,86670571,"-","Nppc"
"1",86703808,87050095,"+","Dis3l2"
"1",87086694,87089928,"-","Alppl2"
"1",87098002,87101606,"-","Alpi"
"1",87124973,87127912,"+","Akp3"
"1",87147655,87156521,"-","Ecel1"
"1",87183313,87188405,"+","Prss56"
"1",87190607,87200070,"+","Chrnd"
"1",87204657,87212694,"+","Chrng"
"1",87213914,87240488,"+","Eif4e2"
"1",87264363,87310839,"+","Efhd1"
"1",87326998,87450796,"+","Gigyf2"
"1",87386363,87394729,"-","Kcnj13"
"1",87470271,87475482,"+","Snorc"
"1",87476834,87573870,"-","Ngef"
"1",87509889,87597845,"+","Neu2"
"1",87620312,87720507,"+","Inpp5d"
"1",87755870,87792428,"+","Atg16l1"
"1",87803680,87845158,"+","Sag"
"1",87853287,87945180,"+","Dgkd"
"1",87945119,88008551,"-","Usp40"
"1",88055388,88219004,"+","Ugt1a10"
"1",88055393,88218584,"-","Gm20528"
"1",88070800,88218997,"+","Ugt1a9"
"1",88087813,88219004,"+","Ugt1a8"
"1",88095062,88220002,"+","Ugt1a7c"
"1",88103252,88219003,"+","Ugt1a6b"
"1",88134809,88218997,"+","Ugt1a6a"
"1",88166012,88218997,"+","Ugt1a5"
"1",88200601,88218997,"+","Ugt1a2"
"1",88204732,88205782,"-","Dnajb3"
"1",88211959,88218997,"+","Ugt1a1"
"1",88226986,88262289,"+","Mroh2a"
"1",88262471,88277633,"-","Hjurp"
"1",88277661,88389293,"+","Trpm8"
"1",88406961,88426438,"+","Spp2"
"1",88499871,88510066,"-","Glrp1"
"1",88673125,88702221,"-","Arl4c"
"1",89070415,89155068,"+","Sh3bp4"
"1",89454806,89897617,"+","Agap1"
"1",89650529,89683908,"-","4933400F21Rik"
"1",89927956,89931179,"-","Gbx2"
"1",89930234,89933290,"+","D130058E05Rik"
"1",89950220,90014666,"-","Asb18"
"1",90042132,90153401,"-","Iqca"
"1",90203980,90216751,"+","Ackr3"
"1",90602981,90613341,"+","Cops8"
"1",90765923,90843971,"-","Col6a3"
"1",90915085,90951142,"+","Mlph"
"1",90953108,90954027,"+","Prlh"
"1",90958133,90969661,"-","Rab17"
"1",90998737,91128944,"+","Lrrfip1"
"1",91145089,91170795,"+","Rbm44"
"1",91179822,91225196,"+","Ramp1"
"1",91250304,91290337,"+","Ube2f"
"1",91298338,91321075,"+","Scly"
"1",91322075,91348306,"+","Espnl"
"1",91351016,91362416,"+","Klhl30"
"1",91366430,91374217,"+","Erfe"
"1",91373861,91398815,"-","Ilkap"
"1",91411483,91414038,"-","Hes6"
"1",91415982,91459324,"-","Per2"
"1",91494647,91529307,"+","Traf3ip1"
"1",91540544,91559589,"+","Asb1"
"1",91801461,91848028,"+","Twist2"
"1",91928779,92195699,"-","Hdac4"
"1",92439010,92473860,"-","Ndufa10"
"1",92475925,92485113,"-","Olfr1416"
"1",92489101,92496101,"-","Olfr1415"
"1",92506366,92518661,"-","Olfr1414"
"1",92571322,92574397,"+","Olfr1413"
"1",92585779,92591375,"+","Olfr1412"
"1",92594411,92597753,"+","Olfr1411"
"1",92605782,92614806,"+","Olfr1410"
"1",92617788,92623412,"+","Olfr12"
"1",92637145,92641985,"-","Cops9"
"1",92644218,92648841,"-","Otos"
"1",92831645,92860779,"+","Gpc1"
"1",92859803,92902906,"-","Ankmy1"
"1",92906981,92908435,"+","Dusp28"
"1",92910783,92924384,"+","Rnpepl1"
"1",92934376,92947941,"+","Capn10"
"1",92950865,92986391,"+","Gpr35"
"1",93006334,93012269,"+","Aqp12"
"1",93015464,93101951,"-","Kif1a"
"1",93135240,93145421,"+","Agxt"
"1",93151349,93160948,"-","2310007B03Rik"
"1",93168725,93231072,"+","Crocc2"
"1",93235841,93301065,"+","Sned1"
"1",93299211,93305915,"-","Mterf4"
"1",93308770,93343482,"-","Pask"
"1",93342854,93373489,"+","Ppp1r7"
"1",93373930,93404303,"+","Ano7"
"1",93405940,93478815,"-","Hdlbp"
"1",93478964,93510260,"+","Sept2"
"1",93478993,93509733,"+","Sept2"
"1",93512079,93621976,"+","Farp2"
"1",93619751,93658659,"-","Stk25"
"1",93685660,93695764,"+","Bok"
"1",93701935,93754864,"-","Thap4"
"1",93751500,93790610,"+","Atg4b"
"1",93792576,93801934,"-","Dtymk"
"1",93803965,93822101,"+","Ing5"
"1",93824909,93852348,"+","D2hgdh"
"1",93861306,93876494,"+","Gal3st2"
"1",93918311,93942650,"+","Gal3st2b"
"1",93990509,94017147,"+","Gal3st2c"
"1",94020451,94028334,"+","Neu4"
"1",94038305,94052553,"-","Pdcd1"
"1",95313623,95335284,"+","Fam174a"
"1",95587682,95667571,"-","St8sia4"
"1",96816270,96872171,"-","Slco4c1"
"1",97059038,97128301,"-","Slco6c1"
"1",97606318,97662074,"-","D1Ertd622e"
"1",97706048,97770411,"-","Ppip5k2"
"1",97770172,97793709,"+","Gin1"
"1",97795114,98095646,"-","Pam"
"1",98031116,98057680,"-","B230216N24Rik"
"1",98421124,98516991,"+","Slco6d1"
"1",99772765,100485942,"+","Cntnap5b"
"1",104768529,104995481,"+","Cdh20"
"1",105276914,105356710,"-","Rnf152"
"1",105518422,105663677,"-","Pign"
"1",105663861,105755191,"+","Relch"
"1",105780718,105847981,"+","Tnfrsf11a"
"1",105990406,106034074,"+","Zcchc2"
"1",106171752,106394250,"+","Phlpp1"
"1",106538178,106714274,"-","Bcl2"
"1",106720459,106759727,"-","Kdsr"
"1",106764071,106796728,"-","Vps4b"
"1",106861173,106883348,"+","Serpinb5"
"1",106934449,106957080,"+","Serpinb12"
"1",106980984,107001195,"+","Serpinb13"
"1",107045587,107052303,"-","Serpinb3a"
"1",107078167,107083506,"-","Serpinb3d"
"1",107153940,107278361,"-","Serpinb3b"
"1",107271201,107278371,"-","Serpinb3c"
"1",107361198,107380475,"+","Serpinb11"
"1",107399655,107452689,"+","Serpinb7"
"1",107511423,107535478,"+","Serpinb2"
"1",107590006,107610484,"+","Serpinb8"
"1",109982431,110140157,"+","Cdh7"
"1",110888326,110977584,"-","Cdh19"
"1",111858702,111864918,"-","Dsel"
"1",115684756,116587323,"+","Cntnap5a"
"1",116802983,116823410,"+","Gm19965"
"1",117697131,117727441,"+","Gm28363"
"1",117781133,117803359,"+","B020011L13Rik"
"1",117830081,117854496,"+","Gm28360"
"1",117928015,117949988,"+","Gm28168"
"1",117965939,117986884,"+","Gm7145"
"1",118176542,118202307,"+","Gm29106"
"1",118294778,118311739,"-","Tsn"
"1",118321839,118333822,"+","Nifk"
"1",118389058,118612678,"+","Clasp1"
"1",118627945,118685168,"+","Tfcp2l1"
"1",118834132,119053619,"-","Gli2"
"1",119415465,119422248,"-","Inhbb"
"1",119470305,119504794,"-","Ralb"
"1",119526160,119528983,"+","Tmem185b"
"1",119545037,119649000,"-","Epb41l5"
"1",119652467,119837613,"-","Ptpn4"
"1",119907890,119913208,"-","Tmem177"
"1",119923341,119997234,"-","Cfap221"
"1",120006894,120063536,"+","Sctr"
"1",120067377,120074074,"-","Tmem37"
"1",120113280,120121078,"-","Dbi"
"1",120121187,120188189,"+","3110009E18Rik"
"1",120190757,120272705,"-","Steap3"
"1",120340582,120343174,"+","C1ql2"
"1",120474538,120505024,"-","Marco"
"1",120602418,120607992,"+","En1"
"1",121304353,121332589,"-","Insig2"
"1",121431049,121506460,"+","Ccdc93"
