#ccds	gene	gene_id	ccds_status	attribute
CCDS6547.1	UBAP2	55833	Public	Inferred exon combination
CCDS6596.2	OR2S2	56656	Public	Polymorphic pseudogene
CCDS6659.1	PSAT1	29968	Public	CDS uses downstream AUG
CCDS6660.1	PSAT1	29968	Public	CDS uses downstream AUG
CCDS6673.1	NAA35	60560	Public	CDS uses downstream AUG
CCDS6694.1	IARS	3376	Public	CDS uses downstream AUG
CCDS6794.2	ALAD	210	Public	CDS uses downstream AUG
CCDS6920.1	PTPA	5524	Public	CDS uses downstream AUG
CCDS6933.1	ASS1	445	Public	CDS uses downstream AUG
CCDS6936.1	QRFP	347148	Public	CDS uses downstream AUG
CCDS6940.1	NUP214	8021	Public	CDS uses downstream AUG
CCDS6990.1	MRPS2	51116	Public	CDS uses downstream AUG
CCDS7040.2	NELFB	25920	Public	Non-AUG initiation codon
CCDS7050.2	EHMT1	79813	Public	Inferred exon combination
CCDS7074.1	IL15RA	3601	Public	CDS uses downstream AUG
CCDS7075.2	IL15RA	3601	Public	CDS uses downstream AUG
CCDS7097.1	PHYH	5264	Public	CDS uses downstream AUG
CCDS7193.1	ANKRD30A	91074	Public	Nonsense-mediated decay (NMD) candidate
CCDS7233.1	CHAT	1103	Public	CDS uses downstream AUG
CCDS7464.1	MMS19	64210	Public	CDS uses downstream AUG
CCDS7466.1	ANKRD2	26287	Public	CDS uses downstream AUG
CCDS7620.2	FGFR2	2263	Public	CDS uses downstream AUG
CCDS7630.1	HTRA1	5654	Public	CDS uses downstream AUG
CCDS7733.1	TSPAN32	10077	Public	CDS uses downstream AUG
CCDS7770.1	TPP1	1200	Public	CDS uses downstream AUG
CCDS7810.2	TEAD1	7003	Public	Non-AUG initiation codon
CCDS7878.2	WT1	7490	Under review, update	Non-AUG initiation codon
CCDS7886.1	CD59	966	Public	CDS uses downstream AUG
CCDS7945.1	PTPRJ	5795	Public	CDS uses downstream AUG
CCDS7967.1	TMX2	51075	Public	CDS uses downstream AUG
CCDS8061.1	NUDT22	84304	Public	CDS uses downstream AUG
CCDS8093.1	VPS51	738	Public	CDS uses downstream AUG
CCDS8141.1	DPP3	10072	Public	CDS uses downstream AUG
CCDS8212.1	FOLR2	2350	Public	CDS uses downstream AUG
CCDS8279.1	FZD4	8322	Public	CDS uses downstream AUG
CCDS8328.2	CASP5	838	Public	Inferred exon combination
CCDS8421.1	MFRP	83552	Public	Nonsense-mediated decay (NMD) candidate
CCDS8494.2	JAM3	83700	Public	CDS uses downstream AUG
CCDS8534.1	KCNA6	3742	Public	Nonsense-mediated decay (NMD) candidate
CCDS8646.1	BCL2L14	79370	Public	Nonsense-mediated decay (NMD) candidate
CCDS8693.1	ABCC9	10060	Public	Inferred exon combination
CCDS8694.1	ABCC9	10060	Public	Inferred exon combination
CCDS8703.1	KRAS	3845	Public	Inferred exon combination
CCDS8728.1	DNM1L	10059	Public	CDS uses downstream AUG
CCDS8729.1	DNM1L	10059	Public	CDS uses downstream AUG
CCDS8730.1	DNM1L	10059	Public	CDS uses downstream AUG
CCDS8743.1	PUS7L	83448	Public	CDS uses downstream AUG
CCDS8793.1	AQP5	362	Public	CDS uses downstream AUG
CCDS8800.1	COX14	84987	Public	CDS uses downstream AUG
CCDS8897.1	PMEL	6490	Public	CDS uses downstream AUG
CCDS8965.1	AVPR1A	552	Public	CDS uses downstream AUG
CCDS8976.1	HELB	92797	Public	Nonsense-mediated decay (NMD) candidate
CCDS9181.1	HRK	8739	Public	Nonsense-mediated decay (NMD) candidate
CCDS9183.3	TESC	54997	Public	CDS uses downstream AUG
CCDS9228.1	DIABLO	56616	Public	CDS uses downstream AUG
CCDS9229.1	DIABLO	56616	Public	CDS uses downstream AUG
CCDS9243.2	MPHOSPH9	10198	Public	Inferred exon combination
CCDS9300.2	SACS	26278	Public	Inferred exon combination
CCDS9370.1	COG6	57511	Public	CDS uses downstream AUG
CCDS9437.1	CNMD	11061	Public	CDS uses downstream AUG
CCDS9528.1	F7	2155	Public	CDS uses downstream AUG
CCDS9529.1	F7	2155	Public	CDS uses downstream AUG
CCDS9585.1	CDH24	64403	Public	Nonsense-mediated decay (NMD) candidate
CCDS9586.1	CDH24	64403	Public	Nonsense-mediated decay (NMD) candidate
CCDS9633.1	GZMB	3002	Public	CDS uses downstream AUG
CCDS9763.1	MTHFD1	4522	Public	CDS uses downstream AUG
CCDS9778.1	FAM71D	161142	Public	Nonsense-mediated decay (NMD) candidate
CCDS9862.1	VIPAS39	63894	Public	CDS uses downstream AUG
CCDS9894.2	GPR68	8111	Public	CDS uses downstream AUG
CCDS9923.1	SERPINA10	51156	Public	CDS uses downstream AUG
CCDS10016.1	SNURF	8926	Public	Nonsense-mediated decay (NMD) candidate
CCDS10122.1	GATM	2628	Public	CDS uses downstream AUG
CCDS10240.1	SENP8	123228	Public	CDS uses downstream AUG
CCDS10291.1	RCN2	5955	Public	CDS uses downstream AUG
CCDS10305.1	CHRNA3	1136	Public	CDS uses downstream AUG
CCDS10352.2	TICRR	90381	Public	Inferred exon combination
CCDS10405.1	AXIN1	8312	Public	CDS uses downstream AUG
CCDS10406.1	AXIN1	8312	Public	CDS uses downstream AUG
CCDS10506.2	SLX4	84464	Public	Inferred exon combination
CCDS10545.1	DEXI	28955	Public	Nonsense-mediated decay (NMD) candidate
CCDS10583.1	UMOD	7369	Public	CDS uses downstream AUG
CCDS10596.1	ZP2	7783	Public	CDS uses downstream AUG
CCDS10598.2	METTL9	51108	Public	CDS uses downstream AUG
CCDS10624.2	TNRC6A	27327	Public	Inferred exon combination
CCDS10646.1	SPNS1	83985	Public	CDS uses downstream AUG
CCDS10648.1	SLX1B	79008	Public	CDS uses downstream AUG
CCDS10649.1	SLX1B	79008	Public	CDS uses downstream AUG
CCDS10678.3	SEPT1	1731	Public	Inferred exon combination
CCDS10780.1	CCL17	6361	Public	CDS uses downstream AUG
CCDS10805.2	TK2	7084	Public	CDS uses downstream AUG
CCDS11011.1	SERPINF2	5345	Public	CDS uses downstream AUG
CCDS11072.1	DHX33	56919	Public	CDS uses downstream AUG
CCDS11090.1	ACADVL	37	Public	CDS uses downstream AUG
CCDS11174.2	TTC19	54902	Public	CDS uses downstream AUG
CCDS11256.1	SLC6A4	6532	Public	CDS uses downstream AUG
CCDS11278.1	CCL7	6354	Public	CDS uses downstream AUG
CCDS11280.1	CCL8	6355	Public	CDS uses downstream AUG
CCDS11283.2	TMEM132E	124842	Public	Inferred exon combination
CCDS11326.1	MRPL45	84311	Public	CDS uses downstream AUG
CCDS11376.1	KRT28	162605	Public	CDS uses downstream AUG
CCDS11420.1	KCNH4	23415	Public	Nonsense-mediated decay (NMD) candidate
CCDS11446.1	G6PC	2538	Public	CDS uses downstream AUG
CCDS11552.2	SLC35B1	10237	Reviewed, update pending	CDS uses downstream AUG
CCDS11559.1	PDK2	5164	Public	CDS uses downstream AUG
CCDS11697.1	DNAI2	64446	Public	Nonsense-mediated decay (NMD) candidate
CCDS11700.2	CD300LB	124599	Public	CDS uses downstream AUG
CCDS11702.1	CD300E	342510	Public	CDS uses downstream AUG
CCDS11736.1	CDK3	1018	Public	CDS uses downstream AUG
CCDS11754.1	TK1	7083	Public	CDS uses downstream AUG
CCDS11757.2	DNAH17	8632	Public	Inferred exon combination
CCDS11881.1	CABYR	26256	Public	Nonsense-mediated decay (NMD) candidate
CCDS11882.1	CABYR	26256	Public	Nonsense-mediated decay (NMD) candidate
CCDS11894.1	DSC1	1823	Public	Inferred exon combination
CCDS11903.1	RNF138	51444	Public	CDS uses downstream AUG
CCDS11904.1	RNF138	51444	Public	CDS uses downstream AUG
CCDS11926.2	EPG5	57724	Public	Inferred exon combination
CCDS11929.2	LOXHD1	125336	Public	Inferred exon combination
CCDS11931.1	ELOA3	162699	Public	Inferred exon combination
CCDS12036.1	POLRMT	5442	Public	CDS uses downstream AUG
CCDS12066.1	DAZAP1	26528	Public	Inferred exon combination
CCDS12206.1	ADAMTS10	81794	Public	Inferred exon combination
CCDS12228.1	DNMT1	1786	Public	CDS uses downstream AUG
CCDS12300.2	PODNL1	79883	Public	CDS uses downstream AUG
CCDS12470.1	UPK1A	11045	Public	CDS uses downstream AUG
CCDS12544.1	DYRK1B	9149	Public	Inferred exon combination
CCDS12611.1	PSG3	5671	Public	CDS uses downstream AUG
CCDS12614.2	PSG11	5680	Public	CDS uses downstream AUG
CCDS12615.2	PSG11	5680	Public	CDS uses downstream AUG
CCDS12690.1	STRN4	29888	Public	Nonsense-mediated decay (NMD) candidate
CCDS12696.1	SAE1	10055	Public	CDS uses downstream AUG
CCDS12733.1	FUT1	2523	Public	CDS uses downstream AUG
CCDS12763.1	PTH2	113091	Public	CDS uses downstream AUG
CCDS12782.1	PTOV1	53635	Public	Nonsense-mediated decay (NMD) candidate
CCDS12790.2	SIGLEC11	114132	Public	CDS uses downstream AUG
CCDS12815.1	KLK8	11202	Public	Inferred exon combination
CCDS12833.1	SIGLEC12	89858	Public	Polymorphic pseudogene
CCDS12873.1	OSCAR	126014	Public	CDS uses downstream AUG
CCDS12874.1	OSCAR	126014	Public	CDS uses downstream AUG
CCDS12875.1	OSCAR	126014	Public	CDS uses downstream AUG
CCDS12876.1	OSCAR	126014	Public	CDS uses downstream AUG
CCDS12886.1	LILRB2	10288	Public	CDS uses downstream AUG
CCDS12901.1	LILRA1	11024	Public	CDS uses downstream AUG
CCDS12902.1	LILRB4	11006	Public	CDS uses downstream AUG
CCDS13058.1	ADAM33	80332	Public	CDS uses downstream AUG
CCDS13165.2	CST7	8530	Public	CDS uses downstream AUG
CCDS13183.1	HM13	81502	Public	Nonsense-mediated decay (NMD) candidate
CCDS13203.1	C20orf203	284805	Public	Nonsense-mediated decay (NMD) candidate
CCDS13345.1	SEMG1	6406	Public	CDS uses downstream AUG
CCDS13449.2	MC3R	4159	Public	CDS uses downstream AUG
CCDS13471.1	GNAS	2778	Public	Nonsense-mediated decay (NMD) candidate
CCDS13617.1	CFAP298	56683	Public	CDS uses downstream AUG
CCDS13636.1	KCNE1	3753	Public	CDS uses downstream AUG
CCDS13841.1	CRYBA4	1413	Public	CDS uses downstream AUG
CCDS14040.1	CYB5R3	1727	Public	CDS uses downstream AUG
CCDS14124.1	MXRA5	25878	Public	CDS uses downstream AUG
CCDS14134.2	GPR143	4935	Public	CDS uses downstream AUG
CCDS14173.1	AP1S2	8905	Public	CDS uses downstream AUG
CCDS14364.1	PFKFB1	5207	Public	CDS uses downstream AUG
CCDS14412.1	TAF1	6872	Public	Inferred exon combination
CCDS14420.1	HDAC8	55869	Public	CDS uses downstream AUG
CCDS14476.2	XKRX	402415	Public	CDS uses downstream AUG
CCDS14548.1	ACSL4	2182	Public	Inferred exon combination
CCDS14653.1	MMGT1	93380	Public	CDS uses downstream AUG
CCDS14742.1	OPN1LW	5956	Public	CDS uses downstream AUG
CCDS14747.1	DNASE1L1	1774	Public	Inferred exon combination
CCDS14800.1	BPY2	9083	Public	Nonsense-mediated decay (NMD) candidate
CCDS30578.1	CA6	765	Public	CDS uses downstream AUG
CCDS30584.1	EXOSC10	5394	Public	CDS uses downstream AUG
CCDS30590.1	AADACL4	343066	Public	Inferred exon combination
CCDS30593.1	PRAMEF7	441871	Public	Inferred exon combination
CCDS30611.1	HSPB7	27129	Public	CDS uses downstream AUG
CCDS30705.1	MKNK1	8569	Reviewed, update pending	CDS uses downstream AUG
CCDS30797.1	CSF1	1435	Public	CDS uses downstream AUG
CCDS30892.1	PEAR1	375033	Public	Inferred exon combination
CCDS30974.1	KDM5B	10765	Public	CDS uses downstream AUG
CCDS30982.1	NFASC	23114	Public	CDS uses downstream AUG
CCDS31013.1	PLXNA2	5362	Public	CDS uses downstream AUG
CCDS31220.1	NUDT13	25961	Public	Inferred exon combination
CCDS31235.1	CCSER2	54462	Public	Inferred exon combination
CCDS31238.1	PTEN	5728	Public	CDS uses downstream AUG
CCDS31258.2	TCTN3	26123	Public	CDS uses downstream AUG
CCDS31298.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS31381.1	OR51Q1	390061	Public	Polymorphic pseudogene
CCDS31414.1	OR2AG1	144125	Public	Polymorphic pseudogene
CCDS31428.1	EIF4G2	1982	Public	Non-AUG initiation codon
CCDS31443.2	DBX1	120237	Public	Inferred exon combination
CCDS31487.1	OR4X1	390113	Public	Polymorphic pseudogene
CCDS31541.1	OR6Q1	219952	Public	Polymorphic pseudogene
CCDS31710.1	OR8B4	283162	Public	Polymorphic pseudogene
CCDS31724.1	GLB1L2	89944	Public	Nonsense-mediated decay (NMD) candidate
CCDS31729.1	TEAD4	7004	Public	Non-AUG initiation codon
CCDS31730.1	TEAD4	7004	Public	Non-AUG initiation codon
CCDS31780.2	TWF1	5756	Public	CDS uses downstream AUG
CCDS31804.1	ACVRL1	94	Public	CDS uses downstream AUG
CCDS31826.2	OR6C68	403284	Public	Inferred exon combination
CCDS31858.1	TBC1D15	64786	Public	CDS uses downstream AUG
CCDS32150.1	SERPINA3	12	Public	CDS uses downstream AUG
CCDS32238.1	ATP8B4	79895	Public	Inferred exon combination
CCDS32270.1	ZNF609	23060	Public	Inferred exon combination
CCDS32407.2	ERN2	10595	Public	CDS uses downstream AUG
CCDS32431.1	SLX1A	548593	Public	CDS uses downstream AUG
CCDS32432.1	SLX1A	548593	Public	CDS uses downstream AUG
CCDS32531.1	ITGAE	3682	Public	CDS uses downstream AUG
CCDS32611.1	RHOT1	55288	Public	Inferred exon combination
CCDS32754.1	CYTH1	9267	Public	Inferred exon combination
CCDS32787.1	LAMA1	284217	Public	Inferred exon combination
CCDS32816.1	FHOD3	80206	Public	Inferred exon combination
CCDS33104.1	CACNG8	59283	Public	Non-AUG initiation codon
CCDS33265.1	POU3F3	5455	Public	Inferred exon combination
CCDS33282.2	CFAP221	200373	Public	Inferred exon combination
CCDS33337.1	TTN	7273	Public	Inferred exon combination
CCDS33358.1	MARS2	92935	Public	CDS uses downstream AUG
CCDS33370.1	KANSL1L	151050	Public	Inferred exon combination
CCDS33375.1	PECR	55825	Public	CDS uses downstream AUG
CCDS33418.1	DUSP28	285193	Public	Nonsense-mediated decay (NMD) candidate
CCDS33460.1	HCK	3055	Public	Non-AUG initiation codon
CCDS33565.2	TFF3	7033	Public	CDS uses downstream AUG
CCDS33603.2	PI4KA	5297	Public	CDS uses downstream AUG
CCDS33617.1	GSTT2B	653689	Public	Polymorphic pseudogene
CCDS33646.1	DDX17	10521	Public	Non-AUG initiation codon
CCDS33647.1	NPTXR	23467	Public	Non-AUG initiation codon
CCDS33650.1	PDGFB	5155	Public	Inferred exon combination
CCDS33704.1	NUP210	23225	Public	Inferred exon combination
CCDS33800.1	OR5H6	79295	Public	Polymorphic pseudogene
CCDS34003.1	ANKRD17	26057	Public	Inferred exon combination
CCDS34004.1	ANKRD17	26057	Public	Inferred exon combination
CCDS34059.1	FGF2	2247	Public	Non-AUG initiation codon
CCDS34080.1	ARFIP1	27236	Public	Inferred exon combination
CCDS34124.2	PLEKHG4B	153478	Public	Inferred exon combination
CCDS34144.1	DNAJC21	134218	Public	CDS uses downstream AUG
CCDS34146.2	CPLANE1	65250	Public	Inferred exon combination
CCDS34287.1	RANBP17	64901	Public	CDS uses downstream AUG
CCDS34298.1	TSPAN17	26262	Public	Inferred exon combination
CCDS34333.1	RPP40	10799	Public	Inferred exon combination
CCDS34349.1	HIST1H1T	3010	Public	CDS uses downstream AUG
CCDS34364.1	OR10C1	442194	Public	Polymorphic pseudogene
CCDS34451.1	BICRAL	23506	Public	Inferred exon combination
CCDS34457.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS34458.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS34494.2	CEP162	22832	Public	Inferred exon combination
CCDS34522.1	DCBLD1	285761	Public	CDS uses downstream AUG
CCDS34616.2	NT5C3A	51251	Public	CDS uses downstream AUG
CCDS34737.1	MDFIC	29969	Public	Non-AUG initiation codon
CCDS34875.1	RBPMS	11030	Public	Nonsense-mediated decay (NMD) candidate
CCDS34950.1	ARC	23237	Public	Nonsense-mediated decay (NMD) candidate
CCDS34971.1	ARHGAP39	80728	Public	Inferred exon combination
CCDS35004.1	BAG1	573	Public	Non-AUG initiation codon
CCDS35029.1	ANKRD20A3	441425	Public	Inferred exon combination
CCDS35085.1	CYLC2	1539	Public	Nonsense-mediated decay (NMD) candidate
CCDS35138.1	GAPVD1	26130	Public	Inferred exon combination
CCDS35176.2	CAMSAP1	157922	Public	Inferred exon combination
CCDS35210.1	SCML1	6322	Public	Inferred exon combination
CCDS35212.2	MAP3K15	389840	Public	Inferred exon combination
CCDS35479.1	RBMY1B	378948	Public	Inferred exon combination
CCDS35480.1	RBMY1D	378949	Public	Inferred exon combination
CCDS35500.2	ZNF550	162972	Public	Nonsense-mediated decay (NMD) candidate
CCDS41254.1	PRAMEF12	390999	Public	Inferred exon combination
CCDS41258.2	PRAMEF18	391003	Public	Inferred exon combination
CCDS41265.1	PRAMEF20	645425	Public	Inferred exon combination
CCDS41282.1	SELENON	57190	Public	Contains selenocysteine
CCDS41283.1	SELENON	57190	Public	Contains selenocysteine
CCDS41289.1	TRNP1	388610	Public	Nonsense-mediated decay (NMD) candidate
CCDS41290.1	THEMIS2	9473	Public	Inferred exon combination
CCDS41295.1	RCC1	1104	Public	CDS uses downstream AUG
CCDS41332.3	OSBPL9	114883	Public	CDS uses downstream AUG
CCDS41333.2	OSBPL9	114883	Public	CDS uses downstream AUG
CCDS41339.1	DIO1	1733	Public	Contains selenocysteine
CCDS41340.1	DIO1	1733	Public	Contains selenocysteine
CCDS41350.1	LRRIQ3	127255	Public	Inferred exon combination
CCDS41356.2	CCDC18	343099	Public	Inferred exon combination
CCDS41414.2	RHBG	57127	Public	Polymorphic pseudogene
CCDS41618.1	EIF4G2	1982	Public	Non-AUG initiation codon
CCDS41620.1	MICALCL	84953	Public	Inferred exon combination
CCDS41757.2	PRB2	653247	Public	Inferred exon combination
CCDS41814.1	OSBPL8	114882	Public	Inferred exon combination
CCDS41815.1	NAV3	89795	Public	Inferred exon combination
CCDS41859.1	TMEM132B	114795	Public	Inferred exon combination
CCDS41905.1	DAOA	267012	Public	Nonsense-mediated decay (NMD) candidate
CCDS41939.1	HECTD1	25831	Public	Inferred exon combination
CCDS41964.1	GPX2	2877	Public	Contains selenocysteine
CCDS41965.1	MAX	4149	Public	Nonsense-mediated decay (NMD) candidate
CCDS41992.2	DIO3	1735	Public	Contains selenocysteine
CCDS42016.1	EIF2AK4	440275	Public	Inferred exon combination
CCDS42041.1	ZNF280D	54816	Public	CDS uses downstream AUG
CCDS42044.1	MYZAP	100820829	Public	Inferred exon combination
CCDS42068.1	CFAP161	161502	Public	CDS uses downstream AUG
CCDS42086.1	LRRK1	79705	Public	Inferred exon combination
CCDS42100.1	MSRB1	51734	Public	Contains selenocysteine
CCDS42102.1	NPW	283869	Public	Non-AUG initiation codon
CCDS42116.2	C16orf89	146556	Public	CDS uses downstream AUG
