"chrom","start","end","strand","gene.name"
"1",2184461,2212720,"-","FAAP20"
"1",2228695,2310119,"+","SKI"
"1",2321253,2391707,"-","MORN1"
"1",2391775,2405444,"+","RER1"
"1",2403964,2413797,"-","PEX10"
"1",2425980,2505530,"+","PLCH2"
"1",2508533,2526628,"-","PANK4"
"1",2528745,2530245,"-","HES5"
"1",2555639,2565382,"+","TNFRSF14"
"1",2586491,2591469,"+","FAM213B"
"1",2590639,2632990,"-","MMEL1"
"1",2635976,2801717,"-","TTC34"
"1",3021483,3022903,"+","ACTRT2"
"1",3069168,3438621,"+","PRDM16"
"1",3454426,3481113,"+","ARHGEF16"
"1",3489920,3611495,"-","MEGF6"
"1",3625002,3630127,"+","TPRG1L"
"1",3630767,3652761,"-","WRAP73"
"1",3652520,3736201,"+","TP73"
"1",3746460,3771645,"+","CCDC27"
"1",3772761,3775982,"+","SMIM1"
"1",3778558,3796504,"-","LRRC47"
"1",3812081,3857214,"-","CEP104"
"1",3857267,3885429,"+","DFFB"
"1",3889125,3900293,"-","C1orf174"
"1",4654732,4792534,"+","AJAP1"
"1",5862811,5992473,"-","NPHP4"
"1",5991466,6101193,"+","KCNAB2"
"1",6101793,6180123,"-","CHD5"
"1",6181269,6209389,"-","RPL22"
"1",6205475,6221299,"+","RNF207"
"1",6221193,6235972,"-","ICMT"
"1",6244192,6245578,"+","HES3"
"1",6247346,6260975,"-","GPR153"
"1",6264269,6394391,"-","ACOT7"
"1",6412418,6424670,"-","HES2"
"1",6424776,6461367,"+","ESPN"
"1",6461151,6466195,"-","TNFRSF25"
"1",6466092,6520061,"-","PLEKHG5"
"1",6521347,6554535,"-","NOL9"
"1",6555181,6579757,"+","TAS1R1"
"1",6580001,6589280,"+","ZBTB48"
"1",6590724,6614607,"-","KLHL21"
"1",6613685,6624033,"+","PHF13"
"1",6624866,6635586,"+","THAP3"
"1",6634168,6701924,"-","DNAJC11"
"1",6785324,7769706,"+","CAMTA1"
"1",7771269,7781432,"+","VAMP3"
"1",7784320,7845177,"+","PER3"
"1",7843083,7853512,"-","UTS2"
"1",7915894,7943165,"-","TNFRSF9"
"1",7954291,7985505,"+","PARK7"
"1",8004404,8026308,"-","ERRFI1"
"1",8317826,8344167,"+","SLC45A1"
"1",8352397,8817643,"-","RERE"
"1",8861000,8879250,"-","ENO1"
"1",8945867,8975092,"+","CA6"
"1",9003300,9026345,"-","SLC2A7"
"1",9035107,9088478,"-","SLC2A5"
"1",9100305,9129170,"-","GPR157"
"1",9234775,9271337,"+","H6PD"
"1",9292880,9369532,"+","SPSB1"
"1",9539482,9585179,"+","SLC25A33"
"1",9588922,9614873,"+","TMEM201"
"1",9651732,9729114,"+","PIK3CD"
"1",9729026,9824526,"-","CLSTN1"
"1",9848276,9910336,"-","CTNNBIP1"
"1",9922113,9943407,"-","LZIC"
"1",9943428,9985501,"+","NMNAT1"
"1",9997206,10016020,"+","RBP7"
"1",10032832,10181239,"+","UBE4B"
"1",10210805,10381603,"+","KIF1B"
"1",10398592,10420144,"+","PGD"
"1",10430102,10452153,"+","APITD1-CORT"
"1",10430443,10442809,"+","CENPS"
"1",10449719,10451902,"+","CORT"
"1",10456522,10472526,"-","DFFA"
"1",10472288,10630758,"+","PEX14"
"1",10636604,10796650,"-","CASZ1"
"1",10946471,10982037,"-","C1orf127"
"1",11012344,11026420,"+","TARDBP"
"1",11026523,11047233,"-","MASP2"
"1",11054584,11060024,"-","SRM"
"1",11066618,11099881,"-","EXOSC10"
"1",11106535,11262507,"-","MTOR"
"1",11189341,11195981,"+","ANGPTL7"
"1",11273206,11296049,"+","UBIAD1"
"1",11479166,11537584,"+","DISP3"
"1",11637018,11655785,"-","FBXO2"
"1",11654375,11663327,"+","FBXO44"
"1",11664124,11674354,"+","FBXO6"
"1",11674480,11691650,"-","MAD2L2"
"1",11691729,11725857,"+","DRAXIN"
"1",11736084,11754802,"+","AGTRAP"
"1",11785723,11806920,"-","MTHFR"
"1",11806096,11843144,"+","CLCN6"
"1",11845709,11848345,"-","NPPA"
"1",11857464,11858931,"-","NPPB"
"1",11919591,11926428,"-","KIAA2013"
"1",11934205,11975538,"+","PLOD1"
"1",11980181,12013514,"+","MFN2"
"1",12019466,12032045,"+","MIIP"
"1",12063377,12144207,"+","TNFRSF8"
"1",12167003,12209228,"+","TNFRSF1B"
"1",12230032,12512047,"+","VPS13D"
"1",12567910,12617731,"-","DHRS3"
"1",12644547,12667086,"+","AADACL4"
"1",12716115,12728759,"+","AADACL3"
"1",12746215,12763699,"+","C1orf158"
"1",12774841,12777906,"+","PRAMEF12"
"1",12791397,12796628,"+","PRAMEF1"
"1",12824605,12831410,"-","PRAMEF11"
"1",12847408,12848725,"-","HNRNPCL1"
"1",12857086,12861909,"+","PRAMEF2"
"1",12879224,12886201,"-","PRAMEF4"
"1",12892896,12898270,"-","PRAMEF10"
"1",12916610,12920482,"+","PRAMEF7"
"1",12938472,12947580,"-","PRAMEF6"
"1",13049476,13056491,"-","PRAMEF27"
"1",13060869,13062229,"+","HNRNPCL3"
"1",13068677,13077884,"+","PRAMEF25"
"1",13115496,13116854,"-","HNRNPCL2"
"1",13148905,13155961,"-","PRAMEF26"
"1",13164586,13165467,"-","HNRNPCL4"
"1",13172455,13179464,"+","PRAMEF9"
"1",13254212,13263314,"+","PRAMEF5"
"1",13281035,13285174,"-","PRAMEF8"
"1",13315581,13322598,"+","PRAMEF15"
"1",13342034,13347134,"-","PRAMEF14"
"1",13389632,13392629,"+","PRAMEF17"
"1",13410450,13421328,"+","PRAMEF20"
"1",13474977,13514048,"-","LRRC38"
"1",13583465,13617957,"+","PDPN"
"1",13700198,13825079,"+","PRDM2"
"1",13892792,15118043,"+","KAZN"
"1",15152532,15220480,"+","TMEM51"
"1",15409895,15430343,"+","EFHD2"
"1",15438439,15449242,"+","CTRC"
"1",15456728,15472091,"+","CELA2A"
"1",15465909,15491400,"+","CELA2B"
"1",15490832,15526534,"-","CASP9"
"1",15526813,15592379,"+","DNAJC16"
"1",15572353,15585110,"-","AGMAT"
"1",15617500,15669044,"+","DDI2"
"1",15659869,15661722,"+","RSC1A1"
"1",15684332,15734769,"+","PLEKHM2"
"1",15736405,15741396,"+","SLC25A34"
"1",15742422,15747982,"+","TMEM82"
"1",15756607,15786594,"+","FBLIM1"
"1",15807169,15809348,"-","UQCRHL"
"1",15847864,15940460,"+","SPEN"
"1",15941869,15976132,"-","ZBTB17"
"1",16004236,16008807,"+","C1orf64"
"1",16014028,16019594,"-","HSPB7"
"1",16018875,16034050,"+","CLCNKA"
"1",16043736,16057308,"+","CLCNKB"
"1",16057769,16073632,"-","FAM131C"
"1",16124337,16156087,"-","EPHA2"
"1",16197854,16212609,"-","ARHGEF19"
"1",16231700,16237162,"-","RSG1"
"1",16246839,16352454,"-","FBXO42"
"1",16352575,16398145,"+","SZRD1"
"1",16387117,16437424,"-","SPATA21"
"1",16440672,16460078,"+","NECAP2"
"1",16740273,16972979,"+","CROCC"
"1",16974502,16980835,"-","MFAP2"
"1",16985958,17011928,"-","ATP13A2"
"1",17018722,17054170,"-","SDHB"
"1",17066761,17119435,"-","PADI2"
"1",17205126,17246005,"+","PADI1"
"1",17249098,17284233,"+","PADI3"
"1",17308195,17364004,"+","PADI4"
"1",17372196,17401699,"+","PADI6"
"1",17406760,17439724,"-","RCC2"
"1",17539835,17697874,"+","ARHGEF10L"
"1",17755313,17827063,"+","ACTL8"
"1",18107746,18378483,"+","IGSF21"
"1",18480982,18486126,"+","KLHDC7A"
"1",18631006,18748866,"+","PAX7"
"1",18839599,18859682,"-","TAS1R2"
"1",18871430,18902781,"-","ALDH4A1"
"1",18904281,18956686,"-","IFFO2"
"1",19074506,19210276,"-","UBR4"
"1",19215664,19251552,"-","EMC1"
"1",19251539,19260128,"+","MRTO4"
"1",19282558,19289250,"-","AKR7A3"
"1",19303965,19312146,"-","AKR7A2"
"1",19312326,19329300,"+","PQLC2"
"1",19338776,19485539,"-","CAPZB"
"1",19596977,19629821,"+","MINOS1"
"1",19596979,19658456,"+","NBL1"
"1",19665287,19679562,"+","HTR6"
"1",19682213,19799945,"-","TMCO4"
"1",19814029,19815278,"-","RNF186"
"1",19882513,19912945,"+","OTUD3"
"1",19920009,19923617,"-","PLA2G2E"
"1",19975431,19980416,"-","PLA2G2A"
"1",20028179,20091190,"+","PLA2G5"
"1",20111939,20119566,"-","PLA2G2D"
"1",20139326,20150386,"+","PLA2G2F"
"1",20186085,20196048,"+","UBXN10"
"1",20482391,20486220,"-","CAMK2N1"
"1",20499448,20508161,"-","MUL1"
"1",20552439,20555010,"+","FAM43B"
"1",20588948,20618908,"+","CDA"
"1",20633455,20651511,"+","PINK1"
"1",20651767,20661544,"-","DDOST"
"1",20664014,20718017,"-","KIF17"
"1",20719732,20732837,"-","SH2D5"
"1",20742661,20787323,"-","HP1BP3"
"1",20806292,21176888,"-","EIF4G3"
"1",21217247,21345504,"-","ECE1"
"1",21440128,21485005,"+","NBPF3"
"1",21509372,21578412,"+","ALPL"
"1",21596215,21669363,"-","RAP1GAP"
"1",21678298,21783606,"-","USP48"
"1",21812265,21825221,"+","LDLRAD2"
"1",21822245,21937297,"-","HSPG2"
"1",21977021,21998642,"+","CELA3B"
"1",22001656,22012539,"+","CELA3A"
"1",22052627,22092946,"+","CDC42"
"1",22117305,22143969,"-","WNT4"
"1",22451851,22531157,"+","ZBTB40"
"1",22563564,22603594,"+","EPHA8"
"1",22636506,22639608,"+","C1QA"
"1",22643630,22648110,"+","C1QC"
"1",22652762,22661538,"+","C1QB"
"1",22710839,22921500,"+","EPHB2"
"1",23010834,23015850,"-","C1orf234"
"1",23019443,23083689,"+","KDM1A"
"1",23084023,23177808,"-","LUZP1"
"1",23191895,23194729,"-","HTR1D"
"1",23303771,23344336,"-","HNRNPR"
"1",23359448,23369442,"-","ZNF436"
"1",23381061,23424740,"-","TCEA3"
"1",23428563,23484568,"-","ASAP3"
"1",23506430,23531220,"-","E2F2"
"1",23557918,23559794,"-","ID3"
"1",23691742,23696835,"+","RPL11"
"1",23743155,23762059,"+","ELOA"
"1",23778405,23788232,"+","PITHD1"
"1",23790970,23795539,"+","LYPLA2"
"1",23795599,23800804,"-","GALE"
"1",23801885,23838620,"-","HMGCL"
"1",23845077,23868294,"-","FUCA1"
"1",23870526,23913362,"-","CNR2"
"1",23959109,23963462,"+","PNRC2"
"1",23964804,23980927,"-","SRSF10"
"1",24056035,24112175,"-","MYOM3"
"1",24119771,24143121,"-","IL22RA1"
"1",24154157,24187959,"-","IFNLR1"
"1",24319322,24364482,"+","GRHL3"
"1",24356999,24416934,"-","STPG1"
"1",24415794,24472976,"+","NIPAL3"
"1",24502351,24541040,"+","RCAN3"
"1",24556111,24609328,"+","NCMAP"
"1",24631716,24673267,"+","SRRM1"
"1",24745357,24844324,"+","CLIC4"
"1",24899511,24965121,"-","RUNX3"
"1",25222679,25232502,"-","SYF2"
"1",25242237,25338213,"-","RSRP1"
"1",25272393,25330445,"+","RHD"
"1",25337917,25362361,"+","TMEM50A"
"1",25362249,25430192,"-","RHCE"
"1",25430858,25500209,"+","TMEM57"
"1",25543580,25568886,"+","LDLRAP1"
"1",25617468,25786207,"+","MAN1C1"
"1",25800176,25818224,"+","SEPN1"
"1",25818640,25832942,"+","MTFR1L"
"1",25831913,25859458,"-","AUNIP"
"1",25861210,25871253,"-","PAQR7"
"1",25884181,25906991,"-","STMN1"
"1",25959767,25998157,"-","PAFAH2"
"1",26019884,26036464,"+","EXTL1"
"1",26037252,26046133,"-","SLC30A2"
"1",26051304,26068436,"-","TRIM63"
"1",26111165,26125543,"+","PDIK1L"
"1",26159020,26163962,"+","FAM110D"
"1",26169871,26170873,"+","ZNF593"
"1",26177403,26189886,"+","CNKSR1"
"1",26190561,26202968,"+","CATSPER4"
"1",26234153,26279038,"+","CEP85"
"1",26279176,26281522,"+","SH3BGRL3"
"1",26281328,26318363,"-","UBXN11"
"1",26317957,26320523,"+","CD52"
"1",26361634,26374522,"-","ZNF683"
"1",26410778,26429722,"+","LIN28A"
"1",26432282,26471294,"+","DHDDS"
"1",26472450,26475972,"+","HMGN2"
"1",26529761,26575030,"+","RPS6KA1"
"1",26693236,26782110,"+","ARID1A"
"1",26787472,26798398,"+","PIGV"
"1",26826710,26857602,"+","ZDHHC18"
"1",26863138,26864457,"+","SFN"
"1",26876133,26890297,"-","GPN2"
"1",26890488,26900466,"-","GPATCH3"
"1",26900238,26946862,"+","NUDC"
"1",26911489,26913966,"-","NR0B2"
"1",26949562,26960406,"-","KDF1"
"1",26993707,27000898,"+","TRNP1"
"1",27005020,27012836,"-","FAM46B"
"1",27098815,27166981,"-","SLC9A1"
"1",27234516,27308633,"+","WDTC1"
"1",27322145,27336400,"+","TMEM222"
"1",27342020,27353937,"+","SYTL1"
"1",27355184,27366892,"-","MAP3K6"
"1",27369112,27374824,"-","FCN3"
"1",27379176,27383380,"-","CD164L2"
"1",27392644,27395814,"+","GPR3"
"1",27404226,27490158,"-","WASF2"
"1",27534035,27604431,"-","AHDC1"
"1",27612064,27635277,"-","FGR"
"1",27666061,27672218,"-","IFI6"
"1",27725979,27763122,"+","FAM76A"
"1",27773183,27824452,"+","STX12"
"1",27830778,27851676,"+","PPP1R8"
"1",27872543,27886685,"+","THEMIS2"
"1",27891524,27914746,"-","RPA2"
"1",27934993,27959157,"+","SMPDL3B"
"1",27959462,27968096,"+","XKR8"
"1",27970344,28088696,"-","EYA3"
"1",28147166,28193936,"-","PTAFR"
"1",28199456,28233025,"-","DNAJC8"
"1",28236109,28246906,"+","ATPIF1"
"1",28259527,28282491,"+","SESN2"
"1",28329002,28335967,"+","MED18"
"1",28369582,28500369,"+","PHACTR4"
"1",28505943,28539300,"+","RCC1"
"1",28553085,28578545,"+","TRNAU1AP"
"1",28589323,28643085,"-","TAF12"
"1",28592200,28595443,"+","RAB42"
"1",28668732,28719353,"+","GMEB1"
"1",28736621,28769775,"+","YTHDF2"
"1",28812142,28871267,"+","OPRD1"
"1",28887091,29120046,"+","EPB41"
"1",29119428,29123935,"-","TMEM200B"
"1",29147743,29181987,"-","SRSF4"
"1",29192873,29230942,"-","MECR"
"1",29236516,29326813,"+","PTPRU"
"1",30711277,30723587,"-","MATN1"
"1",30732469,30757820,"-","LAPTM5"
"1",30869467,30908761,"-","SDC3"
"1",30931506,31065991,"-","PUM1"
"1",31179745,31239554,"-","NKAIN1"
"1",31259568,31296782,"-","SNRNP40"
"1",31296982,31364953,"+","ZCCHC17"
"1",31365625,31376850,"-","FABP3"
"1",31409565,31434680,"+","SERINC2"
"1",31576485,31587686,"+","TINAGL1"
"1",31617686,31632518,"+","HCRTR1"
"1",31629862,31644896,"-","PEF1"
"1",31652247,31704319,"-","COL16A1"
"1",31727117,31764893,"-","ADGRB2"
"1",31790422,31816051,"-","SPOCD1"
"1",31906421,31944856,"-","PTP4A2"
"1",32013829,32060850,"+","KHDRBS1"
"1",32072031,32102866,"+","TMEM39B"
"1",32108038,32176568,"+","KPNA6"
"1",32179686,32198285,"+","TXLNA"
"1",32200386,32205387,"+","CCDC28B"
"1",32205661,32208687,"+","IQCC"
"1",32209094,32216196,"+","DCDC2B"
"1",32214472,32222359,"-","TMEM234"
"1",32221928,32231604,"+","EIF3I"
"1",32247233,32248856,"+","FAM167B"
"1",32251239,32286165,"+","LCK"
"1",32292086,32333635,"+","HDAC1"
"1",32333832,32336379,"-","MARCKSL1"
"1",32351521,32364312,"+","TSSK3"
"1",32361270,32364278,"-","FAM229A"
"1",32365103,32394731,"-","BSDC1"
"1",32465069,32496686,"+","ZBTB8B"
"1",32539427,32605939,"+","ZBTB8A"
"1",32600172,32650903,"-","ZBTB8OS"
"1",32651142,32686211,"+","RBBP4"
"1",32680360,32703596,"-","SYNC"
"1",32741885,32774970,"+","KIAA1522"
"1",32775237,32818153,"-","YARS"
"1",32816767,32858879,"+","S100PBP"
"1",32862268,32872482,"-","FNDC5"
"1",32885994,32898441,"+","HPCA"
"1",32894594,32901438,"-","TMEM54"
"1",32936445,32964685,"-","RNF19B"
"1",33007940,33080996,"-","AK2"
"1",33081104,33120530,"+","AZIN2"
"1",33145402,33182059,"-","TRIM62"
"1",33256545,33300719,"+","ZNF362"
"1",33306766,33321098,"-","A3GALT2"
"1",33323623,33431052,"-","PHC2"
"1",33472645,33496507,"+","ZSCAN20"
"1",33513999,34165842,"-","CSMD2"
"1",33860475,33864791,"+","HMGB4"
"1",34166883,34219131,"+","C1orf94"
"1",34712737,34859816,"-","SMIM12"
"1",34755047,34758512,"+","GJB5"
"1",34759741,34763724,"+","GJB4"
"1",34781189,34786369,"+","GJB3"
"1",34792998,34795747,"+","GJA4"
"1",34865436,34929585,"-","DLGAP3"
"1",34981535,34985353,"-","TMEM35B"
"1",34986165,35031968,"-","ZMYM6"
"1",35059786,35115859,"+","ZMYM1"
"1",35176378,35193148,"-","SFPQ"
"1",35268967,35422058,"+","ZMYM4"
"1",35433490,35557950,"-","KIAA0319L"
"1",35557473,35567274,"+","NCDN"
"1",35573370,35595328,"+","TFAP2E"
"1",35599544,35641844,"-","PSMB2"
"1",35713875,35719472,"-","C1orf216"
"1",35720218,35769967,"-","CLSPN"
"1",35808172,35857890,"+","AGO4"
"1",35869808,35930528,"+","AGO1"
"1",35930718,36072500,"+","AGO3"
"1",36084075,36088275,"+","TEKT2"
"1",36088875,36093932,"+","ADPRHL2"
"1",36095236,36125220,"-","COL8A2"
"1",36136570,36156053,"-","TRAPPC3"
"1",36155579,36180849,"+","MAP7D1"
"1",36224416,36305357,"+","THRAP3"
"1",36306387,36324886,"+","SH3D21"
"1",36322031,36324154,"-","EVA1B"
"1",36339624,36385896,"-","STK40"
"1",36391238,36397892,"-","LSM10"
"1",36415827,36450451,"-","OSCP1"
"1",36455718,36464437,"-","MRPS15"
"1",36466043,36483278,"-","CSF3R"
"1",36795527,37034129,"-","GRIK3"
"1",37474552,37484379,"+","ZC3H12A"
"1",37492575,37514774,"-","MEAF6"
"1",37534449,37554344,"-","SNIP1"
"1",37556919,37566857,"+","DNALI1"
"1",37566816,37595935,"-","GNL2"
"1",37611350,37634923,"-","RSPO1"
"1",37681570,37692249,"-","C1orf109"
"1",37692418,37709719,"+","CDCA8"
"1",37713880,37765133,"-","EPHA10"
"1",37793802,37801137,"+","MANEAL"
"1",37802944,37808185,"-","YRDC"
"1",37806979,37809454,"+","C1orf122"
"1",37809567,37859620,"-","MTF1"
"1",37860697,37947057,"-","INPP5B"
"1",37956975,37990921,"-","SF3A3"
"1",37996770,38005606,"-","FHL3"
"1",38009258,38024824,"+","UTP11"
"1",38044611,38046794,"-","POU3F1"
"1",38838198,38859823,"-","RRAGC"
"1",38862964,38874105,"-","MYCBP"
"1",38874451,38881587,"-","GJA9"
"1",38885807,38941799,"-","RHBDL2"
"1",38991223,39006059,"+","AKIRIN1"
"1",39026318,39034636,"+","NDUFS5"
"1",39081316,39487177,"+","MACF1"
"1",39491646,39525935,"+","BMP8A"
"1",39560816,39576790,"-","PABPC4"
"1",39624153,39639945,"-","HEYL"
"1",39659121,39672038,"-","NT5C1A"
"1",39678648,39691689,"-","HPCAL4"
"1",39692182,39763914,"+","PPIE"
"1",39757182,39788861,"-","BMP8B"
"1",39769523,39771348,"-","OXCT2"
"1",39841022,39883511,"-","TRIT1"
"1",39895426,39902256,"-","MYCL"
"1",39955112,39969968,"+","MFSD2A"
"1",40040233,40072649,"+","CAP1"
"1",40071461,40097727,"-","PPT1"
"1",40161373,40240921,"+","RLF"
"1",40245947,40251691,"+","TMCO2"
"1",40258107,40294184,"+","ZMPSTE24"
"1",40300487,40317813,"-","COL9A2"
"1",40344850,40423326,"+","SMAP2"
"1",40450102,40463718,"+","ZFP69B"
"1",40477215,40496343,"+","ZFP69"
"1",40508741,40516556,"+","EXO5"
"1",40531561,40548169,"+","ZNF684"
"1",40620679,40665657,"-","RIMS3"
"1",40691648,40771603,"+","NFYC"
"1",40783814,40840452,"+","KCNQ4"
"1",40861051,40862366,"-","CITED4"
"1",40979335,41012565,"+","CTPS1"
"1",41015597,41023237,"-","SLFNL1"
"1",41027200,41242154,"-","SCMH1"
"1",41478775,41484673,"-","EDN2"
"1",41506365,42035925,"-","HIVEP3"
"1",42153421,42155824,"+","GUCA2B"
"1",42162691,42164718,"-","GUCA2A"
"1",42176539,42335877,"-","FOXJ3"
"1",42380795,42422578,"+","RIMKLA"
"1",42430329,42456267,"-","ZMYND12"
"1",42456117,42473385,"+","PPCS"
"1",42463330,42654664,"+","CCDC30"
"1",42658425,42676758,"+","PPIH"
"1",42682427,42702349,"+","YBX1"
"1",42733093,42740254,"-","CLDN19"
"1",42746335,42767084,"-","P3H1"
"1",42767269,42779488,"+","C1orf50"
"1",42785007,42816619,"+","TMEM269"
"1",42807052,42817252,"-","SVBP"
"1",42817088,42844993,"+","ERMAP"
"1",42846573,42852477,"+","ZNF691"
"1",42925375,42959176,"-","SLC2A1"
"1",43145153,43156396,"+","FAM183A"
"1",43164175,43270936,"-","EBNA1BP2"
"1",43172149,43254358,"+","CFAP57"
"1",43269994,43274002,"+","TMEM125"
"1",43281883,43285617,"-","C1orf210"
"1",43300993,43323108,"+","TIE1"
"1",43337849,43352772,"+","MPL"
"1",43358955,43363203,"+","CDC20"
"1",43363397,43368074,"-","ELOVL1"
"1",43383917,43389808,"-","MED8"
"1",43389882,43454247,"+","SZT2"
"1",43451003,43453989,"-","HYI"
"1",43525187,43623666,"+","PTPRF"
"1",43650158,43705515,"+","KDM4A"
"1",43705824,43931165,"+","ST3GAL3"
"1",43933320,43937241,"+","ARTN"
"1",43946939,43968022,"+","IPO13"
"1",43970000,43973369,"+","DPH2"
"1",43974487,43978295,"+","ATP6V0B"
"1",43978943,43991170,"+","B4GALT2"
"1",43991359,43996528,"+","CCDC24"
"1",43991500,44031467,"-","SLC6A9"
"1",44118850,44135140,"+","KLF17"
"1",44213455,44220681,"+","DMAP1"
"1",44221070,44355260,"-","ERI3"
"1",44405194,44651724,"+","RNF220"
"1",44635238,44674555,"-","TMEM53"
"1",44674692,44725591,"+","C1orf228"
"1",44739818,44767767,"+","KIF2C"
"1",44775251,44778779,"+","RPS8"
"1",44783585,44787705,"-","BEST4"
"1",44800225,44805990,"+","PLK3"
"1",44805913,44806675,"-","RP11-269F19.9"
"1",44819844,44843063,"-","PTCH2"
"1",44850522,44986722,"-","EIF2B3"
"1",45002540,45011329,"-","HECTD3"
"1",45012147,45015575,"+","UROD"
"1",45016399,45306209,"-","ZSWIM5"
"1",45326905,45328533,"+","HPDL"
"1",45329163,45340470,"-","MUTYH"
"1",45339670,45343975,"+","TOE1"
"1",45343883,45491166,"-","TESK2"
"1",45500053,45513382,"+","MMACHC"
"1",45511036,45523047,"-","PRDX1"
"1",45550543,45570049,"+","AKR1A1"
"1",45583846,45618904,"+","NASP"
"1",45620044,45624057,"-","CCDC17"
"1",45627304,45688113,"-","GPBP1L1"
"1",45687214,45694443,"+","TMEM69"
"1",45694324,45750650,"-","IPP"
"1",45786987,46036124,"+","MAST2"
"1",46040140,46133036,"-","PIK3R3"
"1",46043661,46176488,"-","RP4-533D7.6"
"1",46175073,46185958,"+","TSPAN1"
"1",46188682,46220305,"-","POMGNT1"
"1",46203334,46221261,"+","LURAP1"
"1",46247688,46278473,"+","RAD54L"
"1",46261196,46303608,"-","LRRC41"
"1",46303631,46316776,"+","UQCRH"
"1",46340177,46365152,"+","NSUN4"
"1",46394265,46413848,"+","FAAH"
"1",46506996,46514226,"+","DMBX1"
"1",46545644,46551527,"-","KNCN"
"1",46557408,46616843,"-","MKNK1"
"1",46607715,46616891,"-","MOB3C"
"1",46632737,46673867,"-","ATPAF1"
"1",46668855,46673594,"+","TEX38"
"1",46675159,46719064,"-","EFCAB14"
"1",46757838,46819413,"+","CYP4B1"
"1",46929177,46941484,"-","CYP4A11"
"1",47023568,47050751,"+","CYP4X1"
"1",47067488,47118319,"+","CYP4Z1"
"1",47137435,47149741,"+","CYP4A22"
"1",47183593,47191044,"-","PDZK1IP1"
"1",47216290,47232220,"-","TAL1"
"1",47250139,47314147,"-","STIL"
"1",47333797,47378839,"+","CMPK1"
"1",47416072,47418052,"+","FOXE3"
"1",47436017,47440691,"+","FOXD2"
"1",47760528,47996895,"-","TRABD2B"
"1",48222685,48248644,"+","SLC5A9"
"1",48295372,48472208,"-","SPATA6"
"1",48532855,50023913,"-","AGBL4"
"1",48727523,48776969,"-","BEND5"
"1",50048014,50203786,"+","ELAVL4"
"1",50417550,50423500,"-","DMRTA2"
"1",50437028,50960263,"-","FAF1"
"1",50960745,50974633,"+","CDKN2C"
"1",51102234,51148086,"+","C1orf185"
"1",51236271,51273455,"+","RNF11"
"1",51287258,51345116,"-","TTC39A"
"1",51354263,51519328,"-","EPS15"
"1",51577179,51798427,"+","OSBPL9"
"1",51789191,51878937,"-","NRDC"
"1",51907956,51990764,"-","RAB3B"
"1",52020131,52056171,"-","TXNDC12"
"1",52032103,52033816,"-","KTI12"
"1",52056125,52090716,"+","BTF3L4"
"1",52142094,52346686,"+","ZFYVE9"
"1",52345723,52366193,"-","CC2D1B"
"1",52372829,52404459,"-","ORC1"
"1",52404564,52420839,"+","PRPF38A"
"1",52408282,52553487,"-","ZCCHC11"
"1",52602372,52609051,"+","GPX7"
"1",52633344,52669683,"+","FAM159A"
"1",52684451,52698366,"-","COA7"
"1",52726467,52827342,"+","ZYG11B"
"1",52842511,52894998,"+","ZYG11A"
"1",52895910,52927212,"-","ECHDC2"
"1",52927229,53051703,"+","SCP2"
