"chrom","start","end","strand","Ensembl.gene.ID","gene.name"
"1",13139105,13374083,"-","ENSMUSG00000005886","Ncoa2"
"1",13564698,13589910,"-","ENSMUSG00000025935","Tram1"
"1",13623330,13660546,"-","ENSMUSG00000025937","Lactb2"
"1",13668771,13701723,"+","ENSMUSG00000067813","Xkr9"
"1",14168954,14310235,"-","ENSMUSG00000025932","Eya1"
"1",14753346,14755992,"-","ENSMUSG00000025930","Msc"
"1",14872648,14918862,"-","ENSMUSG00000032769","Trpa1"
"1",15287254,15723750,"+","ENSMUSG00000092083","Kcnb2"
"1",15805646,15844052,"+","ENSMUSG00000025925","Terf1"
"1",15853862,15892722,"-","ENSMUSG00000032719","Sbspon"
"1",16065979,16093325,"-","ENSMUSG00000067795","4930444P10Rik"
"1",16101295,16104662,"-","ENSMUSG00000043716","Rpl7"
"1",16105774,16133734,"+","ENSMUSG00000025921","Rdh10"
"1",16228674,16520112,"-","ENSMUSG00000025920","Stau2"
"1",16540790,16619489,"-","ENSMUSG00000025939","Ube2w"
"1",16641725,16657042,"-","ENSMUSG00000079658","Eloc"
"1",16665207,16678275,"+","ENSMUSG00000025940","Tmem70"
"1",16688051,16709611,"+","ENSMUSG00000025779","Ly96"
"1",16964560,17097889,"-","ENSMUSG00000042686","Jph1"
"1",17145362,17164271,"+","ENSMUSG00000025777","Gdap1"
"1",17601901,17630939,"+","ENSMUSG00000067780","Pi15"
"1",17727045,17766344,"+","ENSMUSG00000025776","Crispld1"
"1",18115191,18145902,"-","ENSMUSG00000025774","Crisp4"
"1",18236473,18237443,"-","ENSMUSG00000073735","Defb18"
"1",18250980,18265138,"-","ENSMUSG00000067773","Defb41"
"1",19103022,19166346,"+","ENSMUSG00000042596","Tfap2d"
"1",19208914,19238576,"+","ENSMUSG00000025927","Tfap2b"
"1",20057779,20618064,"-","ENSMUSG00000043760","Pkhd1"
"1",20730905,20734496,"+","ENSMUSG00000025929","Il17a"
"1",20777146,20790617,"-","ENSMUSG00000041872","Il17f"
"1",20802968,20820312,"-","ENSMUSG00000041859","Mcm3"
"1",20890606,20939650,"+","ENSMUSG00000025931","Paqr8"
"1",20951626,20990841,"+","ENSMUSG00000041809","Efhc1"
"1",20996299,21079229,"-","ENSMUSG00000041779","Tram2"
"1",21218575,21230167,"+","ENSMUSG00000025933","Tmem14a"
"1",21240589,21265661,"+","ENSMUSG00000025934","Gsta3"
"1",21349641,21352200,"+","ENSMUSG00000067750","Khdc1a"
"1",21368331,21370845,"+","ENSMUSG00000041722","Khdc1c"
"1",21383556,21386373,"+","ENSMUSG00000085079","Khdc1b"
"1",21398403,21961942,"-","ENSMUSG00000028033","Kcnq5"
"1",23100473,23102253,"-","ENSMUSG00000073730","4933415F23Rik"
"1",23366424,23397772,"-","ENSMUSG00000026158","Ogfrl1"
"1",23761753,23849158,"+","ENSMUSG00000026156","B3gat2"
"1",23844846,23922317,"-","ENSMUSG00000026155","Smap1"
"1",23995939,24005656,"-","ENSMUSG00000026154","Sdhaf4"
"1",24011093,24100341,"-","ENSMUSG00000026153","Fam135a"
"1",24177610,24252684,"+","ENSMUSG00000026147","Col9a1"
"1",24261890,24587472,"-","ENSMUSG00000026141","Col19a1"
"1",24678630,24766301,"+","ENSMUSG00000073725","Lmbrd1"
"1",25067476,25829707,"-","ENSMUSG00000033569","Adgrb3"
"1",26681814,26687460,"-","ENSMUSG00000073722","4931408C20Rik"
"1",28776117,28780252,"-","ENSMUSG00000048411","Gm597"
"1",30802339,30873921,"-","ENSMUSG00000048874","Phf3"
"1",30940302,30949309,"-","ENSMUSG00000026064","Ptp4a1"
"1",31176401,31204725,"+","ENSMUSG00000050217","Lgsn"
"1",31222838,31224288,"+","ENSMUSG00000026063","Pih1d3"
"1",32172714,32658568,"+","ENSMUSG00000026058","Khdrbs2"
"1",32543686,32547294,"-","ENSMUSG00000091318","Gm5415"
"1",33453810,33669795,"-","ENSMUSG00000026134","Prim2"
"1",33719887,33742564,"+","ENSMUSG00000004768","Rab23"
"1",33745484,33757795,"-","ENSMUSG00000042215","Bag2"
"1",33761545,33814595,"-","ENSMUSG00000042197","Zfp451"
"1",33852052,33907816,"-","ENSMUSG00000042182","Bend6"
"1",33908225,34308661,"+","ENSMUSG00000026131","Dst"
"1",34436670,34439672,"-","ENSMUSG00000042111","Ccdc115"
"1",34439851,34449356,"+","ENSMUSG00000026127","Imp4"
"1",34459762,34475733,"+","ENSMUSG00000026126","Ptpn18"
"1",34498410,34503063,"+","ENSMUSG00000026125","Prss39"
"1",34535648,34544313,"+","ENSMUSG00000026124","Cfc1"
"1",34543968,34560943,"-","ENSMUSG00000037529","Prss40"
"1",34579657,34590944,"+","ENSMUSG00000045174","Amer3"
"1",34678188,34813309,"+","ENSMUSG00000037509","Arhgef4"
"1",34813219,34843065,"-","ENSMUSG00000037503","Fam168b"
"1",34849976,34879580,"+","ENSMUSG00000026123","Plekhb2"
"1",36068400,36106446,"+","ENSMUSG00000045216","Hs6st1"
"1",36140027,36244720,"-","ENSMUSG00000037470","Uggt1"
"1",36264597,36274679,"-","ENSMUSG00000047180","Neurl3"
"1",36307733,36324029,"+","ENSMUSG00000037447","Arid5a"
"1",36335730,36369181,"-","ENSMUSG00000010453","Kansl3"
"1",36372291,36422110,"+","ENSMUSG00000037432","Fer1l5"
"1",36419871,36445271,"-","ENSMUSG00000001143","Lman2l"
"1",36471620,36508764,"+","ENSMUSG00000037408","Cnnm4"
"1",36511867,36528237,"+","ENSMUSG00000001138","Cnnm3"
"1",36530188,36536883,"-","ENSMUSG00000067653","Ankrd23"
"1",36537507,36547445,"-","ENSMUSG00000079610","Ankrd39"
"1",36548639,36558349,"-","ENSMUSG00000026121","Sema4c"
"1",36562692,36683183,"-","ENSMUSG00000046337","Fam178b"
"1",36691449,36693681,"+","ENSMUSG00000061518","Cox5b"
"1",36698114,36714422,"-","ENSMUSG00000037351","Actr1b"
"1",36761798,36782818,"+","ENSMUSG00000026117","Zap70"
"1",36792191,36943666,"-","ENSMUSG00000026116","Tmem131"
"1",37214434,37263384,"+","ENSMUSG00000026114","Cnga3"
"1",37299865,37410736,"+","ENSMUSG00000026113","Inpp4a"
"1",37417084,37430103,"-","ENSMUSG00000026112","Coa5"
"1",37430139,37439124,"+","ENSMUSG00000026111","Unc50"
"1",37439340,37541016,"-","ENSMUSG00000026110","Mgat4a"
"1",37611677,37720085,"-","ENSMUSG00000026090","2010300C02Rik"
"1",37754776,37866429,"-","ENSMUSG00000060771","Tsga10"
"1",37871738,37876228,"+","ENSMUSG00000037216","Lipt1"
"1",37874801,37890411,"-","ENSMUSG00000026088","Mitd1"
"1",37890477,37898535,"+","ENSMUSG00000026087","Mrpl30"
"1",37905923,37916493,"-","ENSMUSG00000061584","Lyg2"
"1",37946736,37957759,"-","ENSMUSG00000026085","Lyg1"
"1",37985189,37997893,"-","ENSMUSG00000058407","Txndc9"
"1",37998010,38055579,"+","ENSMUSG00000026083","Eif5b"
"1",38052786,38129801,"-","ENSMUSG00000026082","Rev1"
"1",38177326,38664955,"-","ENSMUSG00000037138","Aff3"
"1",38793645,38836711,"-","ENSMUSG00000048814","Lonrf2"
"1",38863867,38898161,"-","ENSMUSG00000026080","Chst10"
"1",38939149,38950276,"+","ENSMUSG00000067604","Nms"
"1",38985608,38997238,"+","ENSMUSG00000026078","Pdcl3"
"1",39193731,39363236,"+","ENSMUSG00000026077","Npas2"
"1",39367842,39371911,"+","ENSMUSG00000073702","Rpl31"
"1",39371492,39478755,"-","ENSMUSG00000003134","Tbc1d8"
"1",39534992,39546889,"+","ENSMUSG00000003135","Cnot11"
"1",39551296,39577405,"-","ENSMUSG00000048234","Rnf149"
"1",39618406,39651474,"-","ENSMUSG00000050967","Creg2"
"1",39665301,39720997,"-","ENSMUSG00000057173","Rfx8"
"1",39804148,39805332,"-","ENSMUSG00000091937","Gm3646"
"1",39900913,40026310,"+","ENSMUSG00000026074","Map4k4"
"1",40074079,40125231,"+","ENSMUSG00000026073","Il1r2"
"1",40225080,40317257,"+","ENSMUSG00000026072","Il1r1"
"1",40324610,40367562,"+","ENSMUSG00000070942","Il1rl2"
"1",40429570,40465415,"+","ENSMUSG00000026069","Il1rl1"
"1",40465552,40500854,"+","ENSMUSG00000026070","Il18r1"
"1",40515362,40551705,"+","ENSMUSG00000026068","Il18rap"
"1",40580081,40630725,"+","ENSMUSG00000026065","Slc9a4"
"1",40680574,40769273,"+","ENSMUSG00000026062","Slc9a2"
"1",40772038,40790687,"-","ENSMUSG00000041945","Mfsd9"
"1",40805601,40856887,"+","ENSMUSG00000079588","Tmem182"
"1",42695768,42703176,"+","ENSMUSG00000045515","Pou3f3"
"1",42851233,42905683,"+","ENSMUSG00000060679","Mrps9"
"1",42952872,43035456,"+","ENSMUSG00000041907","Gpr45"
"1",43047200,43098637,"-","ENSMUSG00000070939","Tgfbrap1"
"1",43098710,43115947,"+","ENSMUSG00000010290","AI597479"
"1",43123074,43196984,"-","ENSMUSG00000008136","Fhl2"
"1",43444579,43570515,"+","ENSMUSG00000066877","Nck2"
"1",43730602,43742578,"+","ENSMUSG00000026051","1500015O10Rik"
"1",43746966,43827800,"-","ENSMUSG00000057363","Uxs1"
"1",43933647,44003000,"+","ENSMUSG00000041763","Tpp2"
"1",44009408,44020034,"-","ENSMUSG00000047343","Mettl21c"
"1",44086613,44102441,"-","ENSMUSG00000026049","Tex30"
"1",44106546,44118808,"-","ENSMUSG00000026047","Kdelc1"
"1",44118957,44144770,"+","ENSMUSG00000041684","Bivm"
"1",44147744,44181260,"+","ENSMUSG00000026048","Ercc5"
"1",44204070,44218961,"-","ENSMUSG00000046828","Mettl21e"
"1",44551511,44796838,"+","ENSMUSG00000056870","Gulp1"
"1",45311538,45349706,"+","ENSMUSG00000026043","Col3a1"
"1",45374321,45503282,"-","ENSMUSG00000026042","Col5a2"
"1",45795166,45823619,"+","ENSMUSG00000025995","Wdr75"
"1",45908068,45926523,"-","ENSMUSG00000025993","Slc40a1"
"1",46066315,46373546,"+","ENSMUSG00000041144","Dnah7b"
"1",46425592,46807476,"+","ENSMUSG00000101337","Dnah7c"
"1",46807544,46892852,"-","ENSMUSG00000025986","Slc39a10"
"1",50900647,51187270,"+","ENSMUSG00000026109","Tmeff2"
"1",51289126,51302960,"+","ENSMUSG00000045954","Cavin2"
"1",51465862,51478425,"-","ENSMUSG00000026107","Nabp1"
"1",51749765,51916071,"-","ENSMUSG00000018417","Myo1b"
"1",51987148,52107189,"+","ENSMUSG00000062939","Stat4"
"1",52119440,52161865,"+","ENSMUSG00000026104","Stat1"
"1",52163448,52233232,"-","ENSMUSG00000026103","Gls"
"1",52457294,52500679,"-","ENSMUSG00000002881","Nab1"
"1",52630703,52651919,"+","ENSMUSG00000043015","Nemp2"
"1",52656286,52727462,"-","ENSMUSG00000041439","Mfsd6"
"1",52785427,52817688,"-","ENSMUSG00000026102","Inpp1"
"1",52844929,52920986,"+","ENSMUSG00000041426","Hibch"
"1",52922324,53020179,"-","ENSMUSG00000043629","1700019D03Rik"
"1",53061640,53068079,"+","ENSMUSG00000026100","Mstn"
"1",53158577,53187636,"-","ENSMUSG00000060715","1700019A02Rik"
"1",53189187,53297018,"-","ENSMUSG00000026098","Pms1"
"1",53297095,53310309,"+","ENSMUSG00000026097","Ormdl1"
"1",53313624,53326343,"+","ENSMUSG00000026096","Osgepl1"
"1",53344617,53352752,"-","ENSMUSG00000026095","Asnsd1"
"1",53397006,53706784,"-","ENSMUSG00000096141","Dnah7a"
"1",53755506,53785224,"-","ENSMUSG00000026094","Stk17b"
"1",53806876,54195168,"-","ENSMUSG00000042807","Hecw2"
"1",54250683,54368727,"+","ENSMUSG00000025983","Ccdc150"
"1",54396004,54438971,"-","ENSMUSG00000041303","Gtf3c3"
"1",54472994,54557684,"-","ENSMUSG00000073678","Pgap1"
"1",54645340,54926387,"-","ENSMUSG00000052331","Ankrd44"
"1",54985169,55027481,"-","ENSMUSG00000025982","Sf3b1"
"1",55052770,55072702,"+","ENSMUSG00000025981","Coq10b"
"1",55077835,55088243,"-","ENSMUSG00000025980","Hspd1"
"1",55088132,55091307,"+","ENSMUSG00000073676","Hspe1"
"1",55131231,55154899,"+","ENSMUSG00000025979","Mob4"
"1",55170159,55226782,"-","ENSMUSG00000025978","Rftn2"
"1",55237177,55248470,"+","ENSMUSG00000046994","Mars2"
"1",55248658,55363469,"-","ENSMUSG00000025977","Boll"
"1",55405921,55754285,"+","ENSMUSG00000038349","Plcl1"
"1",56636044,56637435,"-","ENSMUSG00000045336","Hsfy2"
"1",56793981,56978650,"-","ENSMUSG00000038331","Satb2"
"1",57377620,57385423,"+","ENSMUSG00000038323","1700066M21Rik"
"1",57388237,57407101,"-","ENSMUSG00000048495","Tyw5"
"1",57406328,57417953,"+","ENSMUSG00000025971","Maip1"
"1",57774162,57948394,"+","ENSMUSG00000038305","Spats2l"
"1",57955101,58018956,"-","ENSMUSG00000054770","Kctd18"
"1",57995971,58025899,"+","ENSMUSG00000026039","Sgo2a"
"1",58029931,58106413,"+","ENSMUSG00000063558","Aox1"
"1",58113130,58200698,"+","ENSMUSG00000064294","Aox3"
"1",58210397,58268597,"+","ENSMUSG00000038242","Aox4"
"1",58278326,58380259,"+","ENSMUSG00000079554","Aox2"
"1",58392898,58407353,"+","ENSMUSG00000051223","Bzw1"
"1",58410189,58424066,"-","ENSMUSG00000026034","Clk1"
"1",58430994,58445486,"-","ENSMUSG00000026035","Ppil3"
"1",58445151,58481816,"+","ENSMUSG00000026036","Nif3l1"
"1",58462771,58505109,"-","ENSMUSG00000026037","Orc2"
"1",58522806,58586323,"-","ENSMUSG00000038174","Fam126b"
"1",58586384,58595964,"+","ENSMUSG00000026032","Ndufb3"
"1",58646903,58695989,"-","ENSMUSG00000047528","Als2cr12"
"1",58711508,58758884,"+","ENSMUSG00000026031","Cflar"
"1",58795374,58847503,"+","ENSMUSG00000026029","Casp8"
"1",58900449,58973430,"-","ENSMUSG00000026028","Trak2"
"1",58973522,58995715,"+","ENSMUSG00000026027","Stradb"
"1",59050506,59094900,"-","ENSMUSG00000072295","C2cd6"
"1",59100590,59120408,"-","ENSMUSG00000038079","Tmem237"
"1",59120935,59163389,"-","ENSMUSG00000079550","Mpp4"
"1",59162926,59237231,"-","ENSMUSG00000026024","Als2"
"1",59256906,59352993,"+","ENSMUSG00000026023","Cdk15"
"1",59482424,59486955,"+","ENSMUSG00000041075","Fzd7"
"1",59516264,59636417,"+","ENSMUSG00000047361","Gm973"
"1",59586558,59670834,"-","ENSMUSG00000026021","Sumo1"
"1",59684971,59719044,"+","ENSMUSG00000026020","Nop58"
"1",59763400,59879014,"+","ENSMUSG00000067336","Bmpr2"
"1",59913006,59985346,"+","ENSMUSG00000041040","Fam117b"
"1",59982490,60043184,"-","ENSMUSG00000026018","Ica1l"
"1",60069785,60098645,"-","ENSMUSG00000026019","Wdr12"
"1",60098247,60153953,"+","ENSMUSG00000026017","Carf"
"1",60180599,60338328,"+","ENSMUSG00000073664","Nbeal1"
"1",60343323,60388060,"+","ENSMUSG00000049439","Cyp20a1"
"1",60409619,60481158,"+","ENSMUSG00000026782","Abi2"
"1",60482292,60567104,"-","ENSMUSG00000026014","Raph1"
"1",60716800,60773359,"+","ENSMUSG00000026012","Cd28"
"1",60887000,60915832,"+","ENSMUSG00000026011","Ctla4"
"1",60977927,61000320,"+","ENSMUSG00000026009","Icos"
"1",61638824,62642284,"+","ENSMUSG00000052062","Pard3b"
"1",62703285,62818695,"+","ENSMUSG00000025969","Nrp2"
"1",62958418,63114667,"-","ENSMUSG00000040865","Ino80d"
"1",63143596,63176833,"-","ENSMUSG00000025968","Ndufs1"
"1",63176825,63180486,"+","ENSMUSG00000025967","Eef1b2"
"1",63182691,63214543,"-","ENSMUSG00000046856","Gpr1"
"1",63273265,63314576,"+","ENSMUSG00000027520","Zdbf2"
"1",63445891,63596276,"+","ENSMUSG00000025964","Adam23"
"1",63622851,63686927,"-","ENSMUSG00000069085","Dytn"
"1",63698819,63730318,"-","ENSMUSG00000025963","Mdh1b"
"1",63730614,63754655,"+","ENSMUSG00000025962","Fastkd2"
"1",63754907,63769267,"-","ENSMUSG00000025961","4933402D24Rik"
"1",64029447,64122282,"-","ENSMUSG00000025959","Klf7"
"1",64532645,64604548,"+","ENSMUSG00000025958","Creb1"
"1",64606473,64617242,"-","ENSMUSG00000025956","Mettl21a"
"1",64690455,64725644,"+","ENSMUSG00000070871","Ccnyl1"
"1",64730558,64737751,"-","ENSMUSG00000045005","Fzd5"
"1",64785983,64956824,"-","ENSMUSG00000051344","Plekhm3"
"1",65012689,65032759,"-","ENSMUSG00000025955","Akr1cl"
"1",65048554,65051149,"-","ENSMUSG00000070870","Cryge"
"1",65061872,65063452,"-","ENSMUSG00000067299","Crygd"
"1",65071525,65073689,"-","ENSMUSG00000025952","Crygc"
"1",65080219,65082288,"-","ENSMUSG00000073658","Crygb"
"1",65100389,65103373,"-","ENSMUSG00000044429","Cryga"
"1",65105285,65123214,"-","ENSMUSG00000044816","D630023F18Rik"
"1",65158616,65186500,"-","ENSMUSG00000025950","Idh1"
"1",65186683,65278695,"+","ENSMUSG00000025949","Pikfyve"
"1",65282056,65389244,"+","ENSMUSG00000025946","Pth2r"
"1",65926520,65928307,"+","ENSMUSG00000025945","Crygf"
"1",66175273,66442583,"+","ENSMUSG00000015222","Map2"
"1",66468367,66699148,"+","ENSMUSG00000055567","Unc80"
"1",66700831,66719805,"+","ENSMUSG00000026005","Rpe"
"1",66719248,66817562,"-","ENSMUSG00000026004","Kansl1l"
"1",66830839,66863277,"-","ENSMUSG00000026003","Acadl"
"1",66924295,66945404,"-","ENSMUSG00000061816","Myl1"
"1",67000517,67038872,"-","ENSMUSG00000026000","Lancl1"
"1",67123026,67231259,"+","ENSMUSG00000025991","Cps1"
"1",68032186,69108059,"-","ENSMUSG00000062209","Erbb4"
"1",69531214,69687245,"-","ENSMUSG00000025997","Ikzf2"
"1",69826970,70725132,"+","ENSMUSG00000053153","Spag16"
"1",70725715,70885397,"+","ENSMUSG00000045648","Vwc2l"
"1",71027498,71103146,"-","ENSMUSG00000026196","Bard1"
"1",71242276,71414910,"-","ENSMUSG00000050296","Abca12"
"1",71557150,71579631,"+","ENSMUSG00000026192","Atic"
"1",71585520,71653200,"-","ENSMUSG00000026193","Fn1"
"1",72159442,72212307,"-","ENSMUSG00000039395","Mreg"
"1",72259167,72284314,"-","ENSMUSG00000026189","Pecr"
"1",72284369,72303104,"+","ENSMUSG00000026188","Tmem169"
"1",72307421,72394952,"+","ENSMUSG00000026187","Xrcc5"
"1",72427112,72536930,"-","ENSMUSG00000039372","March4"
"1",72583251,72633134,"+","ENSMUSG00000039354","Smarcal1"
"1",72642980,72700579,"-","ENSMUSG00000039342","Ankar"
"1",72711290,72713813,"+","ENSMUSG00000046330","Rpl37a"
"1",72824503,72852474,"+","ENSMUSG00000039323","Igfbp2"
"1",72857932,72874884,"-","ENSMUSG00000026185","Igfbp5"
"1",73015074,73015909,"-","ENSMUSG00000026182","Tnp1"
"1",73910231,74124449,"-","ENSMUSG00000055322","Tns1"
"1",74125541,74148223,"+","ENSMUSG00000061815","Rufy4"
"1",74153989,74161246,"+","ENSMUSG00000026180","Cxcr2"
"1",74191785,74194631,"-","ENSMUSG00000048480","Cxcr1"
"1",74236084,74268209,"+","ENSMUSG00000006304","Arpc2"
"1",74278550,74279624,"+","ENSMUSG00000064272","Gpbar1"
"1",74279840,74284738,"-","ENSMUSG00000006299","Aamp"
"1",74284930,74353694,"+","ENSMUSG00000026179","Pnkd"
"1",74288247,74305622,"-","ENSMUSG00000006301","Tmbim1"
"1",74362108,74369321,"+","ENSMUSG00000073650","Catip"
"1",74375195,74386062,"+","ENSMUSG00000026177","Slc11a1"
"1",74391509,74397285,"+","ENSMUSG00000026176","Ctdsp1"
"1",74409376,74435559,"+","ENSMUSG00000026175","Vil1"
"1",74435511,74544284,"-","ENSMUSG00000033364","Usp37"
"1",74506058,74530842,"+","ENSMUSG00000026174","Cnot9"
"1",74542888,74567794,"+","ENSMUSG00000026173","Plcd4"
"1",74565127,74588246,"-","ENSMUSG00000026135","Zfp142"
"1",74588289,74592443,"+","ENSMUSG00000026172","Bcs1l"
"1",74593748,74601397,"-","ENSMUSG00000026171","Rnf25"
"1",74601445,74636894,"+","ENSMUSG00000033276","Stk36"
"1",74661745,74703730,"+","ENSMUSG00000033257","Ttll4"
"1",74713574,74737892,"+","ENSMUSG00000026170","Cyp27a1"
"1",74738922,74749221,"-","ENSMUSG00000006542","Prkag3"
"1",74771892,74785322,"+","ENSMUSG00000033227","Wnt6"
"1",74791516,74804179,"+","ENSMUSG00000026167","Wnt10a"
"1",74854934,74857732,"+","ENSMUSG00000090071","Cdk5r2"
"1",74881509,74885419,"-","ENSMUSG00000055197","Fev"
"1",74889934,74893143,"-","ENSMUSG00000006546","Cryba2"
"1",74902071,74935599,"-","ENSMUSG00000047021","Cfap65"
"1",75125541,75133890,"-","ENSMUSG00000026205","Slc23a3"
"1",75134554,75142711,"-","ENSMUSG00000033159","Cnppd1"
"1",75142778,75147913,"+","ENSMUSG00000049339","Retreg2"
"1",75168646,75171629,"+","ENSMUSG00000026197","Zfand2b"
"1",75171717,75180392,"-","ENSMUSG00000026198","Abcb6"
"1",75180860,75192196,"-","ENSMUSG00000033124","Atg9a"
"1",75192151,75199387,"+","ENSMUSG00000026199","Ankzf1"
"1",75198236,75210813,"-","ENSMUSG00000026200","Glb1l"
"1",75210838,75215606,"+","ENSMUSG00000026201","Stk16"
"1",75214228,75219865,"-","ENSMUSG00000026202","Tuba4a"
"1",75220095,75232102,"-","ENSMUSG00000096094","A630095N17Rik"
"1",75236406,75245692,"+","ENSMUSG00000026203","Dnajb2"
"1",75247027,75264502,"-","ENSMUSG00000026204","Ptprn"
"1",75272199,75278415,"-","ENSMUSG00000033061","Resp18"
"1",75307896,75317990,"-","ENSMUSG00000026209","Dnpep"
"1",75360329,75368579,"+","ENSMUSG00000026208","Des"
"1",75375297,75432320,"+","ENSMUSG00000026207","Speg"
"1",75435930,75443179,"+","ENSMUSG00000033021","Gmppa"
"1",75450436,75474343,"+","ENSMUSG00000033007","Asic4"
"1",75474569,75479307,"-","ENSMUSG00000032997","Chpf"
"1",75479310,75506452,"-","ENSMUSG00000026211","Obsl1"
"1",75479532,75485705,"+","ENSMUSG00000051703","Tmem198"
"1",75507077,75510366,"+","ENSMUSG00000032968","Inha"
"1",75521529,75537335,"+","ENSMUSG00000026213","Stk11ip"
"1",75546266,75562172,"+","ENSMUSG00000006576","Slc4a3"
"1",77367185,77515088,"-","ENSMUSG00000026235","Epha4"
"1",78101267,78197134,"-","ENSMUSG00000004872","Pax3"
"1",78310345,78420289,"+","ENSMUSG00000032908","Sgpp2"
"1",78417975,78488897,"-","ENSMUSG00000026245","Farsb"
"1",78510991,78538173,"+","ENSMUSG00000012187","Mogat1"
"1",78657825,78707743,"+","ENSMUSG00000032883","Acsl3"
"1",78658038,78671512,"+","ENSMUSG00000079470","Utp14b"
"1",78816758,78820028,"+","ENSMUSG00000047330","Kcne4"
"1",79434669,79440120,"-","ENSMUSG00000050711","Scg2"
"1",79606876,79671972,"-","ENSMUSG00000054702","Ap1s3"
"1",79702262,79776143,"-","ENSMUSG00000073643","Wdfy1"
"1",79776018,79781445,"+","ENSMUSG00000026248","Mrpl44"
"1",79794197,79861180,"-","ENSMUSG00000026249","Serpine2"
"1",80198706,80218473,"-","ENSMUSG00000043230","Fam124b"
"1",80264923,80340480,"-","ENSMUSG00000004364","Cul3"
"1",80501073,80758527,"-","ENSMUSG00000038608","Dock10"
"1",82233101,82291416,"-","ENSMUSG00000055980","Irs1"
"1",82316452,82445366,"+","ENSMUSG00000026142","Rhbdd1"
"1",82448423,82586849,"-","ENSMUSG00000067158","Col4a4"
"1",82586921,82722059,"+","ENSMUSG00000079465","Col4a3"
"1",82724890,82752394,"+","ENSMUSG00000026150","Mff"
"1",82756649,82768461,"-","ENSMUSG00000026149","Tm4sf20"
"1",82839483,82901182,"+","ENSMUSG00000026159","Agfg1"
"1",83012523,83038448,"-","ENSMUSG00000038496","Slc19a3"
"1",83060930,83061921,"+","ENSMUSG00000101315","Krtap28-13"
"1",83116766,83119167,"+","ENSMUSG00000026166","Ccl20"
"1",83159752,83210574,"+","ENSMUSG00000053161","Daw1"
"1",83254139,83408200,"-","ENSMUSG00000026163","Sphkap"
"1",84036296,84364180,"-","ENSMUSG00000045658","Pid1"
"1",84369839,84696221,"-","ENSMUSG00000036766","Dner"
"1",84721189,84840516,"-","ENSMUSG00000026219","Trip12"
"1",84839841,84900487,"+","ENSMUSG00000073633","Fbxo36"
"1",84905898,84935134,"-","ENSMUSG00000026220","Slc16a14"
"1",84992690,85270566,"-","ENSMUSG00000052477","C130026I21Rik"
"1",85083069,85109853,"-","ENSMUSG00000089844","A530032D15Rik"
"1",85576899,85598817,"-","ENSMUSG00000070034","Sp110"
"1",85600378,85645037,"+","ENSMUSG00000070031","Sp140"
"1",85649988,85709998,"+","ENSMUSG00000026222","Sp100"
"1",85717083,85778643,"-","ENSMUSG00000052760","A630001G21Rik"
"1",85793441,85851576,"+","ENSMUSG00000036707","Cab39"
"1",85894281,85908675,"+","ENSMUSG00000026223","Itm2c"
"1",85938318,85961007,"-","ENSMUSG00000049608","Gpr55"
"1",86016816,86029958,"+","ENSMUSG00000026226","Spata3"
"1",86045863,86055456,"+","ENSMUSG00000026227","2810459M11Rik"
